# BugSigDB 2021-08-22, License: Creative Commons Attribution 4.0 International, URL: https://bugsigdb.org
Study	Study design	PMID	DOI	URL	Authors	Title	Journal	Year	Experiment	Location of subjects	Host species	Body site	Condition	Group 0 name	Group 1 name	Group 1 definition	Group 0 sample size	Group 1 sample size	Antibiotics exclusion	Sequencing type	16s variable region	Sequencing platform	Statistical test	Significance threshold	MHT correction	LDA Score above	Matched on	Confounders controlled for	Pielou	Shannon	Chao1	Simpson	Inverse Simpson	Richness	Signature page name	Source	Curated date	Curator	Revision editor	Description	Abundance in Group 1	MetaPhlAn taxon names	NCBI Taxonomy IDs
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 3	United States of America	Homo sapiens	bronchus	atopic asthma	atopic no asthma	atopic asthma	atopic asthma	21	42	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 1	Figure 2c, Supplemental Table S6	25 June 2020	Lucy Mellor	WikiWorks743	Bacterial taxa significantly enriched or depleted in relative abundance in atopic asthmatic (AA) subjects compared with atopic nonasthmatic (ANA)	increased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 3	United States of America	Homo sapiens	bronchus	atopic asthma	atopic no asthma	atopic asthma	atopic asthma	21	42	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 2	Figure 2c, Supplemental Table S6	25 June 2020	Lucy Mellor	WikiWorks743	Bacterial taxa significantly enriched or depleted in relative abundance in atopic asthmatic (AA) subjects compared with atopic nonasthmatic (ANA)	decreased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 4	United States of America	Homo sapiens	bronchus	atopic asthma	nonresponder	inhaled corticosteroid responder	inhaled corticosteroid (ICS) responder	10	15	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 6b	8 May 2020	Lucy Mellor	WikiWorks743	Taxa significantly enriched or depleted in relative abundance in inhaled corticosteroid (ICS) responders verses nonresponders among those with atopic asthma	increased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 4	United States of America	Homo sapiens	bronchus	atopic asthma	nonresponder	inhaled corticosteroid responder	inhaled corticosteroid (ICS) responder	10	15	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 6b	8 May 2020	Lucy Mellor	WikiWorks743	Taxa significantly enriched or depleted in relative abundance in inhaled corticosteroid (ICS) responders verses nonresponders among those with atopic asthma	decreased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 5	United States of America	Homo sapiens	bronchus	atopic asthma	baseline	post inhaled corticosteroid treatment	inhaled corticosteroid treatment	8	8	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Text, Figure 6d	8 May 2020	Lucy Mellor	WikiWorks743	Taxa differentially expressed in asthmatic subjects who responded to treatment after inhaled corticosteroid (ICS) treatment	increased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 5	United States of America	Homo sapiens	bronchus	atopic asthma	baseline	post inhaled corticosteroid treatment	inhaled corticosteroid treatment	8	8	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Text, Figure 6d	8 May 2020	Lucy Mellor	WikiWorks743	Taxa differentially expressed in asthmatic subjects who responded to treatment after inhaled corticosteroid (ICS) treatment	decreased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 6	United States of America	Homo sapiens	bronchus	atopic asthma	baseline	post placebo treatment	placebo treatment	8	8	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 1	Text, Figure 6d	8 May 2020	Lucy Mellor	WikiWorks743	Taxa differentially expressed in asthmatic subjects after placebo treatment	increased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 6	United States of America	Homo sapiens	bronchus	atopic asthma	baseline	post placebo treatment	placebo treatment	8	8	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA	Signature 2	Text, Figure 6d	8 May 2020	Lucy Mellor	WikiWorks743	Taxa differentially expressed in asthmatic subjects after placebo treatment	decreased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 7	United States of America	Homo sapiens	bronchus	atopic asthma	healthy control	atopic asthma	atopic asthma	21	42	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 1	Supplemental Figure E4a	8 May 2020	Lucy Mellor	WikiWorks743	Bacterial phylum significantly enriched or depleted in relative abundance in atopic asthmatic (AA) subjects compared with healthy controls (HC)	increased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 7	United States of America	Homo sapiens	bronchus	atopic asthma	healthy control	atopic asthma	atopic asthma	21	42	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 2	Supplemental Figure E4a	8 May 2020	Lucy Mellor	WikiWorks743	Bacterial phylum significantly enriched or depleted in relative abundance in atopic asthmatic (AA) subjects compared with healthy controls (HC)	decreased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 8	United States of America	Homo sapiens	bronchus	atopic asthma	healthy control	atopic no asthma	atopic no asthma	21	21	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 1	Supplemental Figure E4b	8 May 2020	Lucy Mellor	WikiWorks743	Bacterial phylum significantly enriched or depleted in relative abundance in atopic nonasthmatic (ANA) subjects compared with healthy controls (HC)	increased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 8	United States of America	Homo sapiens	bronchus	atopic asthma	healthy control	atopic no asthma	atopic no asthma	21	21	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 2	Supplemental Figure E4b	8 May 2020	Lucy Mellor	WikiWorks743	Bacterial phylum significantly enriched or depleted in relative abundance in atopic nonasthmatic (ANA) subjects compared with healthy controls (HC)	decreased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 9	United States of America	Homo sapiens	bronchus	atopic asthma	atopic no asthma	atopic asthma	atopic asthma	21	42	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 1	Supplemental Figure E4c	8 May 2020	Lucy Mellor	WikiWorks743	Bacterial phylum significantly enriched or depleted in relative abundance in atopic asthmatic (AA) subjects compared with atopic nonasthmatic (ANA)	increased		
Study 267	prospective cohort	27838347	10.1016/j.jaci.2016.08.055	NA	Durack J,Lynch SV,Nariya S,Bhakta NR,Beigelman A,Castro M,Dyer AM,Israel E,Kraft M,Martin RJ,Mauger DT,Rosenberg SR,Sharp-King T,White SR,Woodruff PG,Avila PC,Denlinger LC,Holguin F,Lazarus SC,Lugogo N,Moore WC,Peters SP,Que L,Smith LJ,Sorkness CA,Wechsler ME,Wenzel SE,Boushey HA,Huang YJ	Features of the bronchial bacterial microbiome associated with atopy, asthma, and responsiveness to inhaled corticosteroid treatment	The Journal of allergy and clinical immunology	2017	Experiment 9	United States of America	Homo sapiens	bronchus	atopic asthma	atopic no asthma	atopic asthma	atopic asthma	21	42	3 months	16S	NA	Illumina	NA	0.1	TRUE	NA	NA	NA	unchanged	unchanged	NA	NA	NA	unchanged	Signature 2	Supplemental Figure E4c	8 May 2020	Lucy Mellor	WikiWorks743	Bacterial phylum significantly enriched or depleted in relative abundance in atopic asthmatic (AA) subjects compared with atopic nonasthmatic (ANA)	decreased		
Study 268	time series / longitudinal observational	29563617	10.1038/s41598-018-23389-0	NA	Zhang H,Lu J,Lu Y,Cai Q,Liu H,Xu C	Cervical microbiome is altered in cervical intraepithelial neoplasia after loop electrosurgical excision procedure in china	Scientific reports	2018	Experiment 1	China	Homo sapiens	uterine cervix	NA	after loop electrosurgical excision procedure	before	Cervical intraepithelial neoplasia 2/3 patients who underwent Loop electrosurgical excision procedure(LEEP)	26	26	6 months	16S	NA	Illumina	LEfSe	0.05	FALSE	2	NA	NA	NA	unchanged	NA	NA	unchanged	increased	Signature 1	Figure 4	9 May 2020	Cynthia Anderson	WikiWorks743	Histogram of the LDA scores was used to features differentially abundant between LEEP and no LEEP state.	increased		
Study 268	time series / longitudinal observational	29563617	10.1038/s41598-018-23389-0	NA	Zhang H,Lu J,Lu Y,Cai Q,Liu H,Xu C	Cervical microbiome is altered in cervical intraepithelial neoplasia after loop electrosurgical excision procedure in china	Scientific reports	2018	Experiment 1	China	Homo sapiens	uterine cervix	NA	after loop electrosurgical excision procedure	before	Cervical intraepithelial neoplasia 2/3 patients who underwent Loop electrosurgical excision procedure(LEEP)	26	26	6 months	16S	NA	Illumina	LEfSe	0.05	FALSE	2	NA	NA	NA	unchanged	NA	NA	unchanged	increased	Signature 2	Figure 4	9 May 2020	Cynthia Anderson	WikiWorks743	Histogram of the LDA scores was used to features differentially abundant between LEEP and no LEEP state.	decreased		
Study 269	time series / longitudinal observational	32093640	10.1186/s12885-020-6654-5	NA	Chua LL,Rajasuriar R,Lim YAL,Woo YL,Loke P,Ariffin H	Temporal changes in gut microbiota profile in children with acute lymphoblastic leukemia prior to commencement-, during-, and post-cessation of chemotherapy	BMC cancer	2020	Experiment 1	Malaysia	Homo sapiens	feces	leukemia	healthy control	Acute Lymphoblastic Leukemia diagnosis and Pre- Chemotherapy treatment	children (ages 2-6 years old) diagnosed with and treated for Acute Lymphoblastic Leukemia	7	7	NA	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	ethnic group	NA	NA	NA	NA	NA	NA	NA	Signature 1	Figure 3a	10 May 2020	William Lam	WikiWorks743	Differentially abundant bacteria were identified between Acute Lymphoblastic Leukemia (ALL) patients pre-chemotherapy and healthy controls	increased		
Study 269	time series / longitudinal observational	32093640	10.1186/s12885-020-6654-5	NA	Chua LL,Rajasuriar R,Lim YAL,Woo YL,Loke P,Ariffin H	Temporal changes in gut microbiota profile in children with acute lymphoblastic leukemia prior to commencement-, during-, and post-cessation of chemotherapy	BMC cancer	2020	Experiment 1	Malaysia	Homo sapiens	feces	leukemia	healthy control	Acute Lymphoblastic Leukemia diagnosis and Pre- Chemotherapy treatment	children (ages 2-6 years old) diagnosed with and treated for Acute Lymphoblastic Leukemia	7	7	NA	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	ethnic group	NA	NA	NA	NA	NA	NA	NA	Signature 2	Figure 3a	10 May 2020	William Lam	WikiWorks743	Differentially abundant bacteria were identified between Acute Lymphoblastic Leukemia (ALL) patients pre-chemotherapy and healthy controls	decreased		
Study 269	time series / longitudinal observational	32093640	10.1186/s12885-020-6654-5	NA	Chua LL,Rajasuriar R,Lim YAL,Woo YL,Loke P,Ariffin H	Temporal changes in gut microbiota profile in children with acute lymphoblastic leukemia prior to commencement-, during-, and post-cessation of chemotherapy	BMC cancer	2020	Experiment 1	Malaysia	Homo sapiens	feces	leukemia	healthy control	Acute Lymphoblastic Leukemia diagnosis and Pre- Chemotherapy treatment	children (ages 2-6 years old) diagnosed with and treated for Acute Lymphoblastic Leukemia	7	7	NA	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	ethnic group	NA	NA	NA	NA	NA	NA	NA	Signature 3	Figure 3b	10 May 2020	William Lam	WikiWorks743	Differentially abundant bacteria were identified between Acute Lymphoblastic Leukemia (ALL) patients post-chemotherapy and healthy controls	increased		
Study 269	time series / longitudinal observational	32093640	10.1186/s12885-020-6654-5	NA	Chua LL,Rajasuriar R,Lim YAL,Woo YL,Loke P,Ariffin H	Temporal changes in gut microbiota profile in children with acute lymphoblastic leukemia prior to commencement-, during-, and post-cessation of chemotherapy	BMC cancer	2020	Experiment 1	Malaysia	Homo sapiens	feces	leukemia	healthy control	Acute Lymphoblastic Leukemia diagnosis and Pre- Chemotherapy treatment	children (ages 2-6 years old) diagnosed with and treated for Acute Lymphoblastic Leukemia	7	7	NA	16S	NA	Illumina	DESeq2	0.1	TRUE	NA	ethnic group	NA	NA	NA	NA	NA	NA	NA	Signature 4	Figure 3b	10 May 2020	William Lam	WikiWorks743	Differentially abundant bacteria were identified between Acute Lymphoblastic Leukemia (ALL) patients post-chemotherapy and healthy controls	decreased		
Study 270	prospective cohort	28860468	10.1038/s41598-017-09842-6	NA	Di Paola M,Sani C,Clemente AM,Iossa A,Perissi E,Castronovo G,Tanturli M,Rivero D,Cozzolino F,Cavalieri D,Carozzi F,De Filippo C,Torcia MG	Characterization of cervico-vaginal microbiota in women developing persistent high-risk Human Papillomavirus infection	Scientific reports	2017	Experiment 1	Italy	Homo sapiens	NA	human papilloma virus infection	HPV-	HPV+	HPV+  determined through HR-HC2 assay	17	55	3 days	16S	NA	Roche454	LEfSe	0.05	FALSE	2	age	NA	NA	unchanged	unchanged	NA	NA	unchanged	Signature 1	figure 6a	10 May 2020	Cynthia Anderson	WikiWorks743	Metagenomic biomarker discovery by LEfSe analysis betweeen HPV+ and HPV- women	increased		
Study 270	prospective cohort	28860468	10.1038/s41598-017-09842-6	NA	Di Paola M,Sani C,Clemente AM,Iossa A,Perissi E,Castronovo G,Tanturli M,Rivero D,Cozzolino F,Cavalieri D,Carozzi F,De Filippo C,Torcia MG	Characterization of cervico-vaginal microbiota in women developing persistent high-risk Human Papillomavirus infection	Scientific reports	2017	Experiment 1	Italy	Homo sapiens	NA	human papilloma virus infection	HPV-	HPV+	HPV+  determined through HR-HC2 assay	17	55	3 days	16S	NA	Roche454	LEfSe	0.05	FALSE	2	age	NA	NA	unchanged	unchanged	NA	NA	unchanged	Signature 2	figure 6a	10 May 2020	Cynthia Anderson	WikiWorks743	Metagenomic biomarker discovery by LEfSe analysis betweeen HPV+ and HPV- women	decreased		
Study 270	prospective cohort	28860468	10.1038/s41598-017-09842-6	NA	Di Paola M,Sani C,Clemente AM,Iossa A,Perissi E,Castronovo G,Tanturli M,Rivero D,Cozzolino F,Cavalieri D,Carozzi F,De Filippo C,Torcia MG	Characterization of cervico-vaginal microbiota in women developing persistent high-risk Human Papillomavirus infection	Scientific reports	2017	Experiment 2	Italy	Homo sapiens	NA	human papilloma virus infection	HPV+ (clearance)	HPV+ (persistance)	HR-HPV+ persistence confirmed by HPV genotyping after 1 year	27	28	3 days	16S	NA	Roche454	LEfSe	0.05	FALSE	2	NA	NA	NA	unchanged	unchanged	NA	NA	unchanged	Signature 1	figure 6b	10 May 2020	Cynthia Anderson	WikiWorks743	Metagenomic biomarker discovery by LEfSe analysis betweeen HPV+ (clearance) and HPV+ (persistence)	increased		
Study 270	prospective cohort	28860468	10.1038/s41598-017-09842-6	NA	Di Paola M,Sani C,Clemente AM,Iossa A,Perissi E,Castronovo G,Tanturli M,Rivero D,Cozzolino F,Cavalieri D,Carozzi F,De Filippo C,Torcia MG	Characterization of cervico-vaginal microbiota in women developing persistent high-risk Human Papillomavirus infection	Scientific reports	2017	Experiment 2	Italy	Homo sapiens	NA	human papilloma virus infection	HPV+ (clearance)	HPV+ (persistance)	HR-HPV+ persistence confirmed by HPV genotyping after 1 year	27	28	3 days	16S	NA	Roche454	LEfSe	0.05	FALSE	2	NA	NA	NA	unchanged	unchanged	NA	NA	unchanged	Signature 2	figure 6b	10 May 2020	Cynthia Anderson	WikiWorks743	Metagenomic biomarker discovery by LEfSe analysis betweeen HPV+ (clearance) and HPV+ (persistence)	decreased		
Study 271	case-control	31289031	10.1182/bloodadvances.2019032276	NA	Pianko MJ,Devlin SM,Littmann ER,Chansakul A,Mastey D,Salcedo M,Fontana E,Ling L,Tavitian E,Slingerland JB,Slingerland AE,Clurman A,Gomes ALC,Taur Y,Pamer EG,Peled JU,van den Brink MRM,Landgren O,Lesokhin AM	Minimal residual disease negativity in multiple myeloma is associated with intestinal microbiota composition	Blood advances	2019	Experiment 1	United States of America	Homo sapiens	feces	acute lymphoblastic leukemia	Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant	Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant	Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment	18	16	NA	16S	NA	Illumina	LEfSe	0.05	TRUE	2	NA	NA	NA	NA	NA	NA	unchanged	NA	Signature 1	Figure 1a	16 May 2020	William Lam	WikiWorks743	Linear discriminant analysis (LDA) effect size analysis of microbiota differentially associated with MRD status with subclass of autologous stem cell transplantation (ASCT)	increased		
Study 271	case-control	31289031	10.1182/bloodadvances.2019032276	NA	Pianko MJ,Devlin SM,Littmann ER,Chansakul A,Mastey D,Salcedo M,Fontana E,Ling L,Tavitian E,Slingerland JB,Slingerland AE,Clurman A,Gomes ALC,Taur Y,Pamer EG,Peled JU,van den Brink MRM,Landgren O,Lesokhin AM	Minimal residual disease negativity in multiple myeloma is associated with intestinal microbiota composition	Blood advances	2019	Experiment 1	United States of America	Homo sapiens	feces	acute lymphoblastic leukemia	Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant	Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant	Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment	18	16	NA	16S	NA	Illumina	LEfSe	0.05	TRUE	2	NA	NA	NA	NA	NA	NA	unchanged	NA	Signature 2	Figure 1a	16 May 2020	William Lam	WikiWorks743	Linear discriminant analysis (LDA) effect size analysis of microbiota differentially associated with MRD status with subclass of autologous stem cell transplantation (ASCT)	decreased		
Study 271	case-control	31289031	10.1182/bloodadvances.2019032276	NA	Pianko MJ,Devlin SM,Littmann ER,Chansakul A,Mastey D,Salcedo M,Fontana E,Ling L,Tavitian E,Slingerland JB,Slingerland AE,Clurman A,Gomes ALC,Taur Y,Pamer EG,Peled JU,van den Brink MRM,Landgren O,Lesokhin AM	Minimal residual disease negativity in multiple myeloma is associated with intestinal microbiota composition	Blood advances	2019	Experiment 2	United States of America	Homo sapiens	feces	acute lymphoblastic leukemia	Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant	Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant	Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment	18	16	NA	16S	NA	Illumina	LEfSe	0.05	TRUE	2	NA	NA	NA	NA	NA	NA	NA	increased	Signature 1	Figure 1b	16 May 2020	William Lam	WikiWorks743	Relative abundance of genera Eubacterium and Faecalibacterium by MRD status	increased		
Study 271	case-control	31289031	10.1182/bloodadvances.2019032276	NA	Pianko MJ,Devlin SM,Littmann ER,Chansakul A,Mastey D,Salcedo M,Fontana E,Ling L,Tavitian E,Slingerland JB,Slingerland AE,Clurman A,Gomes ALC,Taur Y,Pamer EG,Peled JU,van den Brink MRM,Landgren O,Lesokhin AM	Minimal residual disease negativity in multiple myeloma is associated with intestinal microbiota composition	Blood advances	2019	Experiment 2	United States of America	Homo sapiens	feces	acute lymphoblastic leukemia	Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant	Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant	Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment	18	16	NA	16S	NA	Illumina	LEfSe	0.05	TRUE	2	NA	NA	NA	NA	NA	NA	NA	increased	Signature 2	Figure 1b	16 May 2020	William Lam	WikiWorks743	Relative abundance of genera Eubacterium and Faecalibacterium by MRD status	increased		
Study 271	case-control	31289031	10.1182/bloodadvances.2019032276	NA	Pianko MJ,Devlin SM,Littmann ER,Chansakul A,Mastey D,Salcedo M,Fontana E,Ling L,Tavitian E,Slingerland JB,Slingerland AE,Clurman A,Gomes ALC,Taur Y,Pamer EG,Peled JU,van den Brink MRM,Landgren O,Lesokhin AM	Minimal residual disease negativity in multiple myeloma is associated with intestinal microbiota composition	Blood advances	2019	Experiment 3	United States of America	Homo sapiens	feces	acute lymphoblastic leukemia	Minimal Residual Disease- (positivity) with Allogenic Stem Cell Transplant	Minimal Residual Disease- (negativity) with Allogenic Stem Cell Transplant	Patients with multiple myeloma (MM) who achieve minimal residual disease (MRD) negativity (MRD-) after upfront treatment	18	16	NA	16S	NA	Illumina	Mann-Whitney (Wilcoxon)	0.05	TRUE	2	NA	NA	NA	NA	NA	NA	NA	increased	Signature 1	Figure 1c	16 May 2020	William Lam	WikiWorks743	Forest plots showing effect of covariates on relative abundance of E hallii and F prausnitzii	increased		
